City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
332,cutral-co,-38.9469,-69.2089,281.43,10,0,1.34,AR
333,gilgit,35.9221,74.3087,284.12,34,0,1.41,PK
334,praia da vitoria,38.7333,-27.0667,289.68,94,20,2.72,PT
335,faya-largeau,17.9257,19.1043,296.02,24,87,12.55,TD
336,guerrero negro,27.9769,-114.0611,293.24,60,100,3.78,MX
337,egilsstadir,65.2653,-14.3948,276.1,93,75,1.54,IS
338,kourou,5.1552,-52.6478,298.18,90,17,2.5,GF
339,vuktyl,63.8567,57.3094,268.21,76,100,4.02,RU
340,okondja,-0.6549,13.6753,294.86,98,86,0.22,GA
341,ust'-ilimsk,58.0006,102.6619,271.17,95,99,4.47,RU
342,reggane,26.7158,0.1714,293.42,29,4,5.47,DZ
343,san ignacio,17.1561,-89.0714,297.23,100,100,0.0,BZ
344,tottori,35.5,134.2333,288.19,51,40,1.03,JP
345,carutapera,-1.195,-46.02,298.26,86,77,3.18,BR
346,singrauli,24.1997,82.6753,296.78,48,95,1.94,IN
347,palmer,42.1584,-72.3287,274.61,82,40,0.0,US
348,montepuez,-13.1256,38.9997,297.2,72,72,2.43,MZ
349,kaliua,-5.0606,31.7936,292.29,95,100,0.99,TZ
350,severo-yeniseyskiy,60.3725,93.0408,262.15,88,100,5.0,RU
351,cockburn town,21.4612,-71.1419,300.98,76,9,8.29,TC
352,ulaangom,49.9811,92.0667,270.23,81,78,0.34,MN
353,north bend,43.4065,-124.2243,285.29,93,0,0.0,US
354,alaghsas,17.0187,8.0168,295.53,16,2,4.85,NE
355,hengchun,22.0042,120.7439,298.6,63,60,7.07,TW
356,englewood,39.6478,-104.9878,285.28,34,40,4.63,US
357,chakia,26.4167,85.05,300.23,37,63,1.45,IN
358,demba,-5.51,22.2667,293.44,96,100,1.79,CD
359,mulayjah,27.271,48.4242,297.16,51,2,1.55,SA
360,barra de santo antonio,-9.4047,-35.5072,296.75,90,95,2.32,BR
361,kapa'a,22.0752,-159.319,301.14,81,20,7.72,US
362,westport,41.1415,-73.3579,279.83,79,0,0.0,US
363,prineville,44.2999,-120.8345,280.44,90,40,0.0,US
364,arkhangel'sk,64.5401,40.5433,269.89,91,96,2.66,RU
365,starokamyshinsk,55.0554,61.6031,276.25,79,100,8.21,RU
366,manokwari,-0.8667,134.0833,301.69,76,85,1.95,ID
367,danao,10.5208,124.0272,304.18,82,98,3.58,PH
368,mana,5.6592,-53.7767,298.79,91,5,2.94,GF
369,salekhard,66.53,66.6019,255.51,99,100,1.33,RU
370,stephenville,32.2207,-98.2023,286.22,70,100,0.0,US
371,qui nhon,13.7667,109.2333,299.9,87,97,6.61,VN
372,panji,-7.7253,114.0995,305.37,56,81,4.59,ID
373,freetown,8.484,-13.2299,298.92,90,7,1.8,SL
374,baglung,28.2719,83.5898,295.22,43,100,1.59,NP
375,imbituba,-28.24,-48.6703,297.51,97,100,0.37,BR
376,ilha de mocambique,-15.0342,40.7358,299.61,79,100,6.58,MZ
377,al ain city,24.1917,55.7606,295.94,60,0,4.63,AE
378,hithadhoo,-0.6,73.0833,300.75,79,64,4.81,MV
379,sandnessjoen,66.0217,12.6316,271.21,50,0,1.03,NO
380,trairi,-3.2778,-39.2689,298.9,79,92,3.57,BR
381,wanxian,30.8039,108.3897,289.36,65,72,0.35,CN
382,chauk,20.8833,94.8167,303.42,52,97,3.51,MM
383,enriquillo,17.9,-71.2333,299.18,87,13,5.53,DO
384,ziniare,12.5822,-1.2983,294.17,17,40,4.14,BF
385,vorkuta,67.5,64.0,262.19,87,100,3.94,RU
386,joshimath,30.5667,79.5667,290.44,24,99,2.38,IN
387,el bolson,-41.9667,-71.5167,275.69,96,97,2.88,AR
388,itapirapua,-15.8233,-50.6133,298.6,42,7,1.8,BR
389,canutama,-6.5339,-64.3831,298.74,76,57,0.76,BR
390,chibougamau,49.9168,-74.3659,267.94,93,100,3.09,CA
391,usinsk,65.9939,57.5281,265.97,83,100,2.24,RU
392,angaur state,6.906,134.13,301.5,76,89,4.2,PW
393,shatrovo,56.5167,64.6333,277.63,88,100,8.34,RU
394,verkhnevilyuysk,63.4453,120.3167,263.96,94,100,2.45,RU
395,tralee,52.2704,-9.7026,283.83,89,100,7.03,IE
396,saipan,15.1355,145.701,304.54,66,40,8.75,MP
397,baley,51.6,116.6333,268.59,57,55,1.3,RU
398,ndele,8.4109,20.6473,296.09,84,84,0.22,CF
399,port moresby,-9.4431,147.1797,303.83,51,40,5.14,PG
400,la ronge,55.1001,-105.2842,274.29,75,100,5.14,CA
401,weno,7.4515,151.8468,304.12,74,75,2.06,FM
402,dakhla,23.6848,-15.958,295.19,49,77,4.31,EH
403,mejit,10.2753,170.8646,300.27,84,98,6.0,MH
404,brush,40.2589,-103.6238,282.04,36,6,0.0,US
405,mandsaur,24.0667,75.0667,297.26,36,98,3.45,IN
406,murudeshwara,14.0943,74.4845,303.2,49,88,2.38,IN
407,iraquara,-12.2486,-41.6194,292.34,63,0,1.33,BR
408,tramandai,-29.9847,-50.1336,293.17,98,100,1.14,BR
409,winston,28.0317,-82.0148,294.15,90,100,5.36,US
410,mpulungu,-8.7623,31.1141,297.06,78,78,0.2,ZM
411,kalmunai,7.4167,81.8167,301.59,75,61,2.66,LK
412,keflavik,64.0049,-22.5624,280.39,65,75,6.69,IS
413,gennep,51.6983,5.9736,285.91,88,100,8.23,NL
414,dingwall,57.5953,-4.4272,281.12,92,100,1.95,GB
415,broken hill,-31.95,141.4333,301.44,21,69,3.31,AU
416,minas de marcona,-15.2119,-75.1103,286.62,89,66,6.08,PE
417,lawton,34.6087,-98.3903,283.28,69,0,1.54,US
418,cestos city,5.46,-9.5828,299.1,87,58,2.24,LR
